area_name,indicator_name,score_2019
Hungary,15-60 mortality,0.222222222
Iceland,15-60 mortality,0.444444444
India,15-60 mortality,0.444444444
Indonesia,15-60 mortality,0.49
Iran,15-60 mortality,0.351219323
Iraq,15-60 mortality,0.230085688
Ireland,15-60 mortality,0.358569602
Israel,15-60 mortality,0.460975536
Italy,15-60 mortality,0.271437109
Jamaica,15-60 mortality,0.350946998
Japan,15-60 mortality,0.222222222
Jordan,15-60 mortality,0.45
Kazakhstan,15-60 mortality,0.333333333
Kenya,15-60 mortality,0.463144452
Kuwait,15-60 mortality,0.286969534
Kyrgyzstan,15-60 mortality,0.308272155
Laos,15-60 mortality,0.2321546
Latvia,15-60 mortality,0.377805511
Lebanon,15-60 mortality,0.407190916
Lesotho,15-60 mortality,0.428545799
Liberia,15-60 mortality,0.38746731
Libya,15-60 mortality,0.8625
Lithuania,15-60 mortality,0.757509481
Luxembourg,15-60 mortality,0.565954575
Madagascar,15-60 mortality,0.290774305
Malawi,15-60 mortality,0.478947368
Malaysia,15-60 mortality,0.053160244
Mali,15-60 mortality,0.022134559
Malta,15-60 mortality,0.118140644
Mauritania,15-60 mortality,0.289581091
Mauritius,15-60 mortality,0.625
Mexico,15-60 mortality,0.67560411
Moldova,15-60 mortality,0.78
Mongolia,15-60 mortality,0.286666667
Montenegro,15-60 mortality,0.604
Morocco,15-60 mortality,0.600588235
Mozambique,15-60 mortality,0.414339071
Myanmar,15-60 mortality,0.459549952
Namibia,15-60 mortality,0.84
Nepal,15-60 mortality,0.625454037
Netherlands,15-60 mortality,0.440648082
New Zealand,15-60 mortality,0.1193136
Nicaragua,15-60 mortality,0.500696555
Niger,15-60 mortality,0.216
Nigeria,15-60 mortality,0.31
North Macedonia,15-60 mortality,0.22
Norway,15-60 mortality,0.533333333
Oman,15-60 mortality,0
Pakistan,15-60 mortality,0.533333333
Panama,15-60 mortality,0.525
Papua New Guinea,15-60 mortality,0.303230392
Paraguay,15-60 mortality,0.539464946
Peru,15-60 mortality,0.24137931
Philippines,15-60 mortality,0.07724665
Poland,15-60 mortality,0.206666667
Portugal,15-60 mortality,0.228726767
Qatar,15-60 mortality,0
Romania,15-60 mortality,0.473688584
Russia,15-60 mortality,0.222222222
Rwanda,15-60 mortality,0.378047876
Saudi Arabia,15-60 mortality,0.385574727
Senegal,15-60 mortality,0.351090302
Serbia,15-60 mortality,0.533333333
Seychelles,15-60 mortality,0.922222222
Sierra Leone,15-60 mortality,0.304597701
Singapore,15-60 mortality,0.8
Slovakia,15-60 mortality,0.360105637
Slovenia,15-60 mortality,0.365655588
Somalia,15-60 mortality,0.3139
South Africa,15-60 mortality,0.450125194
South Korea,15-60 mortality,0.111111111
South Sudan,15-60 mortality,0
Spain,15-60 mortality,0.380470286
Sri Lanka,15-60 mortality,0.299814346
Sudan,15-60 mortality,0.259888889
Suriname,15-60 mortality,0.5
Sweden,15-60 mortality,0.573851873
Switzerland,15-60 mortality,0
Syria,15-60 mortality,0.366219325
S�o Tom� and Pr�ncipe,15-60 mortality,0.541266519
Taiwan,15-60 mortality,0.9769977
Tajikistan,15-60 mortality,0.186682897
Tanzania,15-60 mortality,0.84519032
Thailand,15-60 mortality,0.15
The Gambia,15-60 mortality,0.957701434
Togo,15-60 mortality,0.178947368
Trinidad and Tobago,15-60 mortality,0.481467978
Tunisia,15-60 mortality,0.3596726
Turkey,15-60 mortality,0.108268008
Turkmenistan,15-60 mortality,0
Uganda,15-60 mortality,0.53085608
Ukraine,15-60 mortality,0.235
United Arab Emirates,15-60 mortality,0.679289641
United Kingdom,15-60 mortality,0.38730875
United States,15-60 mortality,0.080011105
Uruguay,15-60 mortality,0.337788578
Uzbekistan,15-60 mortality,0.350571949
Venezuela,15-60 mortality,0.317241379
Vietnam,15-60 mortality,0.531197302
Yemen,15-60 mortality,0.634615385
Zambia,15-60 mortality,0.274632552
Zimbabwe,15-60 mortality,0.399579875
Afghanistan,2G. 3G and 4G network coverage,0.644202995
Albania,2G. 3G and 4G network coverage,0.260523993
Algeria,2G. 3G and 4G network coverage,0.322774659
Angola,2G. 3G and 4G network coverage,0.283901787
Argentina,2G. 3G and 4G network coverage,0.069193156
Armenia,2G. 3G and 4G network coverage,0.413338736
Australia,2G. 3G and 4G network coverage,0.240453995
Austria,2G. 3G and 4G network coverage,0.288899143
Azerbaijan,2G. 3G and 4G network coverage,0.242766187
Bahrain,2G. 3G and 4G network coverage,0.270370399
Bangladesh,2G. 3G and 4G network coverage,0.019875283
Belarus,2G. 3G and 4G network coverage,0.090811193
Belgium,2G. 3G and 4G network coverage,0.114476881
Belize,2G. 3G and 4G network coverage,0.44465138
Benin,2G. 3G and 4G network coverage,0.853338616
Bolivia,2G. 3G and 4G network coverage,0.196692657
Bosnia and Herzegovina,2G. 3G and 4G network coverage,0.226385993
Botswana,2G. 3G and 4G network coverage,0.916925678
Brazil,2G. 3G and 4G network coverage,0.294117647
Bulgaria,2G. 3G and 4G network coverage,0.417070113
Burkina Faso,2G. 3G and 4G network coverage,0.506157679
Burundi,2G. 3G and 4G network coverage,0.07753764
Cabo Verde,2G. 3G and 4G network coverage,0.001014421
Cambodia,2G. 3G and 4G network coverage,0.445227104
Cameroon,2G. 3G and 4G network coverage,0.675213216
Canada,2G. 3G and 4G network coverage,0.593433333
Central African Republic,2G. 3G and 4G network coverage,0
Chad,2G. 3G and 4G network coverage,0.006932703
Chile,2G. 3G and 4G network coverage,0
China,2G. 3G and 4G network coverage,0.309799692
Colombia,2G. 3G and 4G network coverage,0.032225059
Comoros,2G. 3G and 4G network coverage,0
Congo,2G. 3G and 4G network coverage,0.332331878
Costa Rica,2G. 3G and 4G network coverage,0.414154765
Croatia,2G. 3G and 4G network coverage,0.28695885
Cuba,2G. 3G and 4G network coverage,0.205170614
Cyprus,2G. 3G and 4G network coverage,0
Czechia,2G. 3G and 4G network coverage,0.2148682
C�te d'Ivoire,2G. 3G and 4G network coverage,0.744739003
Democratic Republic of Congo,2G. 3G and 4G network coverage,0.776339872
Denmark,2G. 3G and 4G network coverage,0.705951347
Djibouti,2G. 3G and 4G network coverage,0.66466235
Dominican Republic,2G. 3G and 4G network coverage,0.915984912
Ecuador,2G. 3G and 4G network coverage,0.800942291
Egypt,2G. 3G and 4G network coverage,0.577434826
El Salvador,2G. 3G and 4G network coverage,0.668176071
Equatorial Guinea,2G. 3G and 4G network coverage,0.258
Eritrea,2G. 3G and 4G network coverage,0.020678246
Estonia,2G. 3G and 4G network coverage,0.42762472
Eswatini,2G. 3G and 4G network coverage,0.569883351
Ethiopia,2G. 3G and 4G network coverage,0.252920142
Finland,2G. 3G and 4G network coverage,0.393418135
France,2G. 3G and 4G network coverage,0
Gabon,2G. 3G and 4G network coverage,0.242938862
Georgia,2G. 3G and 4G network coverage,0
Germany,2G. 3G and 4G network coverage,0.03127165
Ghana,2G. 3G and 4G network coverage,0.324295188
Greece,2G. 3G and 4G network coverage,0.001903764
Guatemala,2G. 3G and 4G network coverage,0.046525611
Guinea,2G. 3G and 4G network coverage,0.115765128
Guinea-Bissau,2G. 3G and 4G network coverage,0.169477628
Guyana,2G. 3G and 4G network coverage,0.69047619
Haiti,2G. 3G and 4G network coverage,0
Honduras,2G. 3G and 4G network coverage,0
Hong Kong,2G. 3G and 4G network coverage,0.454545455
Hungary,2G. 3G and 4G network coverage,0.145384345
Iceland,2G. 3G and 4G network coverage,0.260427809
India,2G. 3G and 4G network coverage,0.59673913
Indonesia,2G. 3G and 4G network coverage,0.5
Iran,2G. 3G and 4G network coverage,0.220052083
Iraq,2G. 3G and 4G network coverage,0.125
Ireland,2G. 3G and 4G network coverage,0.169014085
Israel,2G. 3G and 4G network coverage,0.0625
Italy,2G. 3G and 4G network coverage,0.703
Jamaica,2G. 3G and 4G network coverage,0.469225639
Japan,2G. 3G and 4G network coverage,0.333333333
Jordan,2G. 3G and 4G network coverage,0.637
Kazakhstan,2G. 3G and 4G network coverage,0.505397324
Kenya,2G. 3G and 4G network coverage,0.75
Kuwait,2G. 3G and 4G network coverage,0.666666667
Kyrgyzstan,2G. 3G and 4G network coverage,0.434782609
Laos,2G. 3G and 4G network coverage,0.585205479
Latvia,2G. 3G and 4G network coverage,0.032608696
Lebanon,2G. 3G and 4G network coverage,0.276923077
Lesotho,2G. 3G and 4G network coverage,0.061538462
Liberia,2G. 3G and 4G network coverage,0.5
Libya,2G. 3G and 4G network coverage,0
Lithuania,2G. 3G and 4G network coverage,0.5
Luxembourg,2G. 3G and 4G network coverage,0
Madagascar,2G. 3G and 4G network coverage,0
Malawi,2G. 3G and 4G network coverage,0.496798199
Malaysia,2G. 3G and 4G network coverage,0.514488672
Mali,2G. 3G and 4G network coverage,0.166666667
Malta,2G. 3G and 4G network coverage,0.08355579
Mauritania,2G. 3G and 4G network coverage,0
Mauritius,2G. 3G and 4G network coverage,0
Mexico,2G. 3G and 4G network coverage,0
Moldova,2G. 3G and 4G network coverage,0.379598927
Mongolia,2G. 3G and 4G network coverage,0.584188866
Montenegro,2G. 3G and 4G network coverage,0
Morocco,2G. 3G and 4G network coverage,0.033333333
Mozambique,2G. 3G and 4G network coverage,0.555555556
Myanmar,2G. 3G and 4G network coverage,0.203235671
Namibia,2G. 3G and 4G network coverage,0.452313612
Nepal,2G. 3G and 4G network coverage,0.105090443
Netherlands,2G. 3G and 4G network coverage,0
New Zealand,2G. 3G and 4G network coverage,0.0375
Nicaragua,2G. 3G and 4G network coverage,0.25
Niger,2G. 3G and 4G network coverage,0.177777778
Nigeria,2G. 3G and 4G network coverage,0.203535
North Macedonia,2G. 3G and 4G network coverage,0.6
Norway,2G. 3G and 4G network coverage,0.22
Oman,2G. 3G and 4G network coverage,0.025
Pakistan,2G. 3G and 4G network coverage,0.4
Panama,2G. 3G and 4G network coverage,0.36
Papua New Guinea,2G. 3G and 4G network coverage,0.193106454
Paraguay,2G. 3G and 4G network coverage,0.212366013
Peru,2G. 3G and 4G network coverage,0.453333333
Philippines,2G. 3G and 4G network coverage,0.545454545
Poland,2G. 3G and 4G network coverage,0.3
Portugal,2G. 3G and 4G network coverage,0.02
Qatar,2G. 3G and 4G network coverage,0.292307692
Romania,2G. 3G and 4G network coverage,0.054545455
Russia,2G. 3G and 4G network coverage,0.174952613
Rwanda,2G. 3G and 4G network coverage,0.23870506
Saudi Arabia,2G. 3G and 4G network coverage,0.239075342
Senegal,2G. 3G and 4G network coverage,0.35
Serbia,2G. 3G and 4G network coverage,0.583449439
Seychelles,2G. 3G and 4G network coverage,0.469352941
Sierra Leone,2G. 3G and 4G network coverage,0.31499
Singapore,2G. 3G and 4G network coverage,0.325529822
Slovakia,2G. 3G and 4G network coverage,0.573812485
Slovenia,2G. 3G and 4G network coverage,0.509519959
Somalia,2G. 3G and 4G network coverage,0.306019461
South Africa,2G. 3G and 4G network coverage,0.363555569
South Korea,2G. 3G and 4G network coverage,0.238346589
South Sudan,2G. 3G and 4G network coverage,0.532609947
Spain,2G. 3G and 4G network coverage,0.726806599
Sri Lanka,2G. 3G and 4G network coverage,0.427790338
Sudan,2G. 3G and 4G network coverage,0.699956143
Suriname,2G. 3G and 4G network coverage,0.050877799
Sweden,2G. 3G and 4G network coverage,0.642448118
Switzerland,2G. 3G and 4G network coverage,0.965587139
Syria,2G. 3G and 4G network coverage,0.593952179
S�o Tom� and Pr�ncipe,2G. 3G and 4G network coverage,0.94374827
Taiwan,2G. 3G and 4G network coverage,0.612761905
Tajikistan,2G. 3G and 4G network coverage,0.811034483
Tanzania,2G. 3G and 4G network coverage,0.7933294
Thailand,2G. 3G and 4G network coverage,1
The Gambia,2G. 3G and 4G network coverage,0.605611845
Togo,2G. 3G and 4G network coverage,0.950044904
Trinidad and Tobago,2G. 3G and 4G network coverage,0.63975
Tunisia,2G. 3G and 4G network coverage,0.9791151
Turkey,2G. 3G and 4G network coverage,0.497946667
Turkmenistan,2G. 3G and 4G network coverage,0.874516983
Uganda,2G. 3G and 4G network coverage,0
Ukraine,2G. 3G and 4G network coverage,0.383635525
United Arab Emirates,2G. 3G and 4G network coverage,0.541783679
United Kingdom,2G. 3G and 4G network coverage,0.759179117
United States,2G. 3G and 4G network coverage,0.569750099
Uruguay,2G. 3G and 4G network coverage,0.84
Uzbekistan,2G. 3G and 4G network coverage,0.785825729
Venezuela,2G. 3G and 4G network coverage,0.339083333
Vietnam,2G. 3G and 4G network coverage,0.393466962
Yemen,2G. 3G and 4G network coverage,0.478218731
Zambia,2G. 3G and 4G network coverage,0.48887017
Zimbabwe,2G. 3G and 4G network coverage,0.777777778
Afghanistan,5-14 mortality,0.276076794
Albania,5-14 mortality,0.666666667
Algeria,5-14 mortality,0.479407339
Angola,5-14 mortality,0.89475
Argentina,5-14 mortality,0.872
Armenia,5-14 mortality,0.666666667
Australia,5-14 mortality,0.315040755
Austria,5-14 mortality,0.685832589
Azerbaijan,5-14 mortality,0.666666667
Bahrain,5-14 mortality,0.628712518
Bangladesh,5-14 mortality,0.553682327
Belarus,5-14 mortality,0.480612389
Belgium,5-14 mortality,0.382237023
Belize,5-14 mortality,0.414798142
Benin,5-14 mortality,0.579443094
Bolivia,5-14 mortality,0.833333333
Bosnia and Herzegovina,5-14 mortality,0.521542859
Botswana,5-14 mortality,0.476525823
Brazil,5-14 mortality,0.444444444
Bulgaria,5-14 mortality,0.51506856
Burkina Faso,5-14 mortality,0.666666667
Burundi,5-14 mortality,0.666666667
Cabo Verde,5-14 mortality,0.666666667
Cambodia,5-14 mortality,0.777777778
Cameroon,5-14 mortality,0.5
Canada,5-14 mortality,0.348496993
Central African Republic,5-14 mortality,0.451652428
Chad,5-14 mortality,0.462532375
Chile,5-14 mortality,0.613589207
China,5-14 mortality,0.348100553
Colombia,5-14 mortality,0.475213691
Comoros,5-14 mortality,0.777777778
Congo,5-14 mortality,0.95
Costa Rica,5-14 mortality,0.666666667
Croatia,5-14 mortality,0.526851896
Cuba,5-14 mortality,0.297141234
Cyprus,5-14 mortality,0.447668362
Czechia,5-14 mortality,0.5446064
C�te d'Ivoire,5-14 mortality,0.428180631
Democratic Republic of Congo,5-14 mortality,0.331951102
Denmark,5-14 mortality,0.416666667
Djibouti,5-14 mortality,0.266822179
Dominican Republic,5-14 mortality,0.4575
Ecuador,5-14 mortality,0.413252
Egypt,5-14 mortality,0.750435879
El Salvador,5-14 mortality,0.42
Equatorial Guinea,5-14 mortality,0.997894737
Eritrea,5-14 mortality,0.286360432
Estonia,5-14 mortality,0.309915019
Eswatini,5-14 mortality,0.236
Ethiopia,5-14 mortality,0.549551228
Finland,5-14 mortality,0.8375
France,5-14 mortality,0.957143064
Gabon,5-14 mortality,0.951111111
Georgia,5-14 mortality,0.586666667
Germany,5-14 mortality,0.971
Ghana,5-14 mortality,0.948235294
Greece,5-14 mortality,0.92243805
Guatemala,5-14 mortality,0.493080846
Guinea,5-14 mortality,0.86
Guinea-Bissau,5-14 mortality,0.92919766
Guyana,5-14 mortality,0.388983793
Haiti,5-14 mortality,0.617903841
Honduras,5-14 mortality,0.273295055
Hong Kong,5-14 mortality,0.28
Hungary,5-14 mortality,0.955
Iceland,5-14 mortality,0.041111111
India,5-14 mortality,0.986666667
Indonesia,5-14 mortality,1
Iran,5-14 mortality,0.986666667
Iraq,5-14 mortality,0.95
Ireland,5-14 mortality,0.499020012
Israel,5-14 mortality,0.458886275
Italy,5-14 mortality,0.413793103
Jamaica,5-14 mortality,0.531806402
Japan,5-14 mortality,0.893333333
Jordan,5-14 mortality,0.614165595
Kazakhstan,5-14 mortality,0.75
Kenya,5-14 mortality,0.590355317
Kuwait,5-14 mortality,0.777777778
Kyrgyzstan,5-14 mortality,0.675006771
Laos,5-14 mortality,0.426217854
Latvia,5-14 mortality,0.504069996
Lebanon,5-14 mortality,0.76
Lesotho,5-14 mortality,0.744444444
Liberia,5-14 mortality,0.505747126
Libya,5-14 mortality,0.933333333
Lithuania,5-14 mortality,0.41838336
Luxembourg,5-14 mortality,0.409731882
Madagascar,5-14 mortality,0.6402
Malawi,5-14 mortality,0.462818464
Malaysia,5-14 mortality,0.666666667
Mali,5-14 mortality,0.75
Malta,5-14 mortality,0.710303307
Mauritania,5-14 mortality,0.462
Mauritius,5-14 mortality,0.83
Mexico,5-14 mortality,1
Moldova,5-14 mortality,0.742037932
Mongolia,5-14 mortality,0.415630519
Montenegro,5-14 mortality,0.975919242
Morocco,5-14 mortality,0.893362245
Mozambique,5-14 mortality,1
Myanmar,5-14 mortality,0.857424667
Namibia,5-14 mortality,0.992370524
Nepal,5-14 mortality,0.4
Netherlands,5-14 mortality,0.98246157
New Zealand,5-14 mortality,0.273684211
Nicaragua,5-14 mortality,0.658086339
Niger,5-14 mortality,0.512818102
Nigeria,5-14 mortality,0.288223714
North Macedonia,5-14 mortality,0.336356139
Norway,5-14 mortality,0.474145563
Oman,5-14 mortality,0.964
Pakistan,5-14 mortality,0.988310308
Panama,5-14 mortality,0.921428571
Papua New Guinea,5-14 mortality,0.609
Paraguay,5-14 mortality,0.826245444
Peru,5-14 mortality,0.418098272
Philippines,5-14 mortality,0.624137931
Poland,5-14 mortality,0.949409781
Portugal,5-14 mortality,0.638461538
Qatar,5-14 mortality,0.821775718
Romania,5-14 mortality,0.839205429
Russia,5-14 mortality,0.547107927
Rwanda,5-14 mortality,0.512047582
Saudi Arabia,5-14 mortality,0.773656776
Senegal,5-14 mortality,0.684284326
Serbia,5-14 mortality,0.927849012
Seychelles,5-14 mortality,0.936402648
Sierra Leone,5-14 mortality,0.852541856
Singapore,5-14 mortality,0.352683143
Slovakia,5-14 mortality,0.777341172
Slovenia,5-14 mortality,0.95199635
Somalia,5-14 mortality,0.607558118
South Africa,5-14 mortality,0.447198512
South Korea,5-14 mortality,0.718470405
South Sudan,5-14 mortality,0.892429158
Spain,5-14 mortality,0.683152637
Sri Lanka,5-14 mortality,0.89474563
Sudan,5-14 mortality,0.286482573
Suriname,5-14 mortality,0.730333876
Sweden,5-14 mortality,1
Switzerland,5-14 mortality,0.185087073
Syria,5-14 mortality,0.716131687
S�o Tom� and Pr�ncipe,5-14 mortality,0.513818979
Taiwan,5-14 mortality,0.454668739
Tajikistan,5-14 mortality,0.684555387
Tanzania,5-14 mortality,0.47360482
Thailand,5-14 mortality,0.644466667
The Gambia,5-14 mortality,0.587979795
Togo,5-14 mortality,0.258447428
Trinidad and Tobago,5-14 mortality,0.285714286
Tunisia,5-14 mortality,0.454710285
Turkey,5-14 mortality,0.547266894
Turkmenistan,5-14 mortality,0.226479664
Uganda,5-14 mortality,0.547044198
Ukraine,5-14 mortality,0.26595137
United Arab Emirates,5-14 mortality,0.35762965
United Kingdom,5-14 mortality,0.451035213
United States,5-14 mortality,0.125350189
Uruguay,5-14 mortality,0.593230496
Uzbekistan,5-14 mortality,0.739242109
Venezuela,5-14 mortality,0.718100588
Vietnam,5-14 mortality,0.741799078
Yemen,5-14 mortality,0.717481351
Zambia,5-14 mortality,0.931156346
Zimbabwe,5-14 mortality,0.896358259
Afghanistan,Ability to live on household income,0.89276293
Albania,Ability to live on household income,0.431589512
Algeria,Ability to live on household income,0.454
Angola,Ability to live on household income,0.28121897
Argentina,Ability to live on household income,0.383740637
Armenia,Ability to live on household income,0.951263941
Australia,Ability to live on household income,0.540112595
Austria,Ability to live on household income,0.341805915
Azerbaijan,Ability to live on household income,0.22
Bahrain,Ability to live on household income,0.384933333
Bangladesh,Ability to live on household income,0.655439215
Belarus,Ability to live on household income,0.6177
Belgium,Ability to live on household income,1
Belize,Ability to live on household income,0.059087673
Benin,Ability to live on household income,0.2
Bolivia,Ability to live on household income,0.783701
Bosnia and Herzegovina,Ability to live on household income,0.495488562
Botswana,Ability to live on household income,0.32247446
Brazil,Ability to live on household income,0.438295662
Bulgaria,Ability to live on household income,0.226961307
Burkina Faso,Ability to live on household income,0.87221146
Burundi,Ability to live on household income,0.773809524
Cabo Verde,Ability to live on household income,0.333333333
Cambodia,Ability to live on household income,0.335083436
Cameroon,Ability to live on household income,0.727272727
Canada,Ability to live on household income,0.511792101
Central African Republic,Ability to live on household income,0.633298294
Chad,Ability to live on household income,0.815217391
Chile,Ability to live on household income,0.75
China,Ability to live on household income,0.623511905
Colombia,Ability to live on household income,0.5625
Comoros,Ability to live on household income,0.816901408
Congo,Ability to live on household income,0.4375
Costa Rica,Ability to live on household income,0.831
Croatia,Ability to live on household income,0.411484384
Cuba,Ability to live on household income,0.75
Cyprus,Ability to live on household income,0.547
Czechia,Ability to live on household income,0.471110951
C�te d'Ivoire,Ability to live on household income,0.5
Democratic Republic of Congo,Ability to live on household income,0.666666667
Denmark,Ability to live on household income,0.532608696
Djibouti,Ability to live on household income,0.691917808
Dominican Republic,Ability to live on household income,0.108695652
Ecuador,Ability to live on household income,0.661538462
Egypt,Ability to live on household income,0.307692308
El Salvador,Ability to live on household income,1
Equatorial Guinea,Ability to live on household income,1
Eritrea,Ability to live on household income,1
Estonia,Ability to live on household income,0.75
Eswatini,Ability to live on household income,0.5
Ethiopia,Ability to live on household income,0.62154007
Finland,Ability to live on household income,0.553658962
France,Ability to live on household income,0.783333333
Gabon,Ability to live on household income,0
Georgia,Ability to live on household income,0.972336337
Germany,Ability to live on household income,0.807598748
Ghana,Ability to live on household income,0.96009521
Greece,Ability to live on household income,0.510159736
Guatemala,Ability to live on household income,0.727251929
Guinea,Ability to live on household income,0.25
Guinea-Bissau,Ability to live on household income,0.622222222
Guyana,Ability to live on household income,1
Haiti,Ability to live on household income,1
Honduras,Ability to live on household income,1
Hong Kong,Ability to live on household income,0.323277405
Hungary,Ability to live on household income,1
Iceland,Ability to live on household income,0.3375
India,Ability to live on household income,0.3
Indonesia,Ability to live on household income,0.066666667
Iran,Ability to live on household income,0.44422
Iraq,Ability to live on household income,0.611111111
Ireland,Ability to live on household income,0.31
Israel,Ability to live on household income,0.575
Italy,Ability to live on household income,0.552941177
Jamaica,Ability to live on household income,0.44
Japan,Ability to live on household income,0.377732555
Jordan,Ability to live on household income,0.033333333
Kazakhstan,Ability to live on household income,0.506666667
Kenya,Ability to live on household income,0.8
Kuwait,Ability to live on household income,0.542857143
Kyrgyzstan,Ability to live on household income,0.24
Laos,Ability to live on household income,0.661538462
Latvia,Ability to live on household income,0.854545455
Lebanon,Ability to live on household income,0.122183906
Lesotho,Ability to live on household income,0.1274896
Liberia,Ability to live on household income,0.192707847
Libya,Ability to live on household income,0.433272366
Lithuania,Ability to live on household income,0.676945833
Luxembourg,Ability to live on household income,0.202941176
Madagascar,Ability to live on household income,0.61575
Malawi,Ability to live on household income,0.756564582
Malaysia,Ability to live on household income,0.080187511
Mali,Ability to live on household income,0.102440033
Malta,Ability to live on household income,0.343861486
Mauritania,Ability to live on household income,0.656177775
Mauritius,Ability to live on household income,0.248091284
Mexico,Ability to live on household income,0.401806923
Moldova,Ability to live on household income,0.555648983
Mongolia,Ability to live on household income,0.262478625
Montenegro,Ability to live on household income,0.386463429
Morocco,Ability to live on household income,0
Mozambique,Ability to live on household income,0.752938
Myanmar,Ability to live on household income,0.689200592
Namibia,Ability to live on household income,0.401969963
Nepal,Ability to live on household income,0.706730023
Netherlands,Ability to live on household income,0.439380952
New Zealand,Ability to live on household income,0.499310345
Nicaragua,Ability to live on household income,0.7228002
Niger,Ability to live on household income,1
Nigeria,Ability to live on household income,0.388571429
North Macedonia,Ability to live on household income,0.964952523
Norway,Ability to live on household income,0.73625
Oman,Ability to live on household income,0.999756
Pakistan,Ability to live on household income,0.333706667
Panama,Ability to live on household income,0.803183627
Papua New Guinea,Ability to live on household income,0.012012129
Paraguay,Ability to live on household income,0.301056431
Peru,Ability to live on household income,0.365234534
Philippines,Ability to live on household income,0.480659699
Poland,Ability to live on household income,0.477209282
Portugal,Ability to live on household income,0.76
Qatar,Ability to live on household income,0.433351219
Romania,Ability to live on household income,0.471333333
Russia,Ability to live on household income,0.463276525
Rwanda,Ability to live on household income,0.166176858
Saudi Arabia,Ability to live on household income,0.472167897
Senegal,Ability to live on household income,0.333333333
Serbia,Ability to live on household income,0.509457793
Seychelles,Ability to live on household income,0.333333333
Sierra Leone,Ability to live on household income,0.424349336
Singapore,Ability to live on household income,0.725875
Slovakia,Ability to live on household income,0.264
Slovenia,Ability to live on household income,0.333333333
Somalia,Ability to live on household income,0.408665228
South Africa,Ability to live on household income,0.387636467
South Korea,Ability to live on household income,0.666666667
South Sudan,Ability to live on household income,0.464602811
Spain,Ability to live on household income,0.481222017
Sri Lanka,Ability to live on household income,0.524085149
Sudan,Ability to live on household income,0.460365188
Suriname,Ability to live on household income,0.500235199
Sweden,Ability to live on household income,0.501038973
Switzerland,Ability to live on household income,0.416666667
Syria,Ability to live on household income,0.491528686
S�o Tom� and Pr�ncipe,Ability to live on household income,0.34523809
Taiwan,Ability to live on household income,0.333333333
Tajikistan,Ability to live on household income,0.38070768
Tanzania,Ability to live on household income,0.444444444
Thailand,Ability to live on household income,0.444444444
The Gambia,Ability to live on household income,0.333333333
Togo,Ability to live on household income,0.444444444
Trinidad and Tobago,Ability to live on household income,0.03
Tunisia,Ability to live on household income,0.365031759
Turkey,Ability to live on household income,0.227556871
Turkmenistan,Ability to live on household income,0.442847135
Uganda,Ability to live on household income,0.368522843
Ukraine,Ability to live on household income,0.463362067
